"Data Source","World Development Indicators",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21732.8583148108","23099.940085342","23889.0450178625","24575.6606596427","25791.0431790959","26254.7428037675","26004.4956276389","27240.8027892808","27412.7551930748","27765.6532576026","30245.7069739274","31920.2390732318","31888.5087369598","32507.0843148328","35059.2730975712","35098.7976691425","35937.594655647","37768.5660142352","38904.9992484644","34339.9391559529","33729.5119105028","35324.0720643325","34095.6471714416","35901.653313159","35657.2871970529","35972.8664446515","36117.5082112517","37524.9284784013","39287.0195169703","39110.2761899841","28976.4635497124","35696.3093722926","41649.4507917813","44967.3445127082","",
"Africa Eastern and Southern","AFE","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1805.53616194781","1818.34924372347","1776.25246334533","1766.44184764847","1788.61238074871","1858.87738803911","1945.29371523063","2012.19232276121","2019.90663420803","2052.55395894718","2116.70822640988","2187.10189425214","2249.46710382759","2308.46750321399","2439.22939353385","2602.32114135254","2786.10147365737","2972.2781392806","3082.39372459044","3041.84830475193","3149.29076918953","3253.88230425835","3171.73114630755","3291.01157257418","3426.70934351392","3456.49124540596","3551.14627928128","3703.97771049629","3648.26133239471","3742.92137085928","3629.5669779747","3907.24912735149","4229.08648606455","4352.49089719712","4481.24684693644",
"Afghanistan","AFG","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","813.550255989624","747.688045492413","926.507941011646","966.962032055781","971.633503046666","1076.08735260871","1121.83447077749","1286.94984312675","1333.74726661897","1570.69814517949","1765.53802830615","1744.06062321558","1988.42930381554","2133.24127098647","2224.49074815215","2284.07584789349","2213.1814410479","2335.79586234454","2432.27670083336","2583.48533239877","2561.98176058622","2144.16657002819","2122.99581512663","2201.72290691677","",
"Africa Western and Central","AFW","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1741.3754996558","1775.36978662494","1806.61196280117","1778.75272321888","1768.24137658681","1793.03206534796","1859.94523944697","1923.91818011167","1963.02920121231","1969.70299567223","2032.27796051238","2126.37954883883","2297.5467265618","2404.85278750203","2592.61332118023","2752.36673218308","2904.17650537648","3056.17855006491","3218.91343076233","3335.30104664953","3510.77449944674","3659.21369910009","3777.57684189878","3933.08408283969","4134.6302374492","4090.72812124437","4032.30627092374","4100.15494056468","4238.95464859763","4494.59160075906","4484.0646419224","4746.75278504545","5169.14554667835","5408.01324637995","5639.83073162825",
"Angola","AGO","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3340.5984818072","3372.59696848741","3143.44061045983","2369.24183153437","2374.0208209749","2695.80598510339","3013.33281301183","3178.49480254268","3254.24447460856","3262.97552888306","3326.77991382792","3427.85394963395","3824.28480437228","3878.50795458421","4262.90601258776","4876.28768394823","5404.38383016978","6095.9992668935","6651.37774116168","6498.1692820981","6607.0221970301","6711.39025723883","7354.94296631261","7561.03920495179","7990.27445672775","7119.72644274401","6843.73589660504","6992.7288342812","7347.79993635052","7528.38241791217","6450.74994625154","7408.12659121059","7924.88880583901","8046.81729875579","8347.95279117055",
"Albania","ALB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2655.05990054189","1988.18140632833","1898.8203036205","2142.68118489228","2384.72878545201","2776.18760575277","3053.3299866176","2759.42802591376","3085.57279575656","3549.28442451948","3976.92608302032","4451.00052366074","4840.34788189155","5169.84251077847","5595.55058025693","6014.3268228394","6754.35679524853","7584.97068697555","8469.2601248565","9025.92610692288","9755.92875964596","10273.466834566","10463.6062414773","10588.157876701","11317.2837770993","11747.318031542","12208.3753473372","13004.7776256846","13696.5339985413","14792.0308217221","14512.0376833706","16127.7048522441","19446.2252459573","21263.1545689521","23488.0989465081",
"Andorra","AND","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24908.8709437846","24510.2460817667","23816.8404713631","22958.3257814685","23509.4599838307","24934.3827742245","26541.5814456738","29121.6037066069","30072.7272723068","31589.958242948","33458.1181625074","36895.4402454079","38787.0522534918","41147.8806955474","42717.2377735456","44577.8193343081","46852.6583902384","47501.4309292019","44838.9949992176","42522.9945639501","43853.1712385354","46436.1158596161","45503.0444832658","45609.2307224247","48505.6017361608","50733.2390011704","53110.1426263211","53084.8639640903","55244.6554088177","57475.0692842215","52095.8414004627","59332.2029100127","68470.0759483848","71730.668682165","74939.4746038578",
"Arab World","ARB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6794.46159710757","7111.09180913573","7539.18800593037","7743.18596177609","7923.55741178261","8089.28917436339","8418.75854746029","8811.14789840444","9147.21019240603","9337.30641616453","9924.82261318477","10117.3901857774","10132.1058354514","10445.9609587411","11463.2460983361","12177.0994910231","12990.6349587553","13589.1118351357","14258.9269217031","14085.8001413896","14648.8279481093","15207.1297032501","16069.9412026037","15993.7428542785","15771.5788079928","14285.2519648099","13811.3766646627","14424.4784120975","15506.5716439223","15682.9701121946","14279.0453787255","16001.6305710559","17925.6530176816","18432.9644601223","18786.802384025",
"United Arab Emirates","ARE","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86949.0094138114","85764.6267875336","86019.0820177445","84860.3093870919","88427.284902777","92106.9554547215","93008.5703687139","94374.1898774432","88693.0306777356","86165.4527129278","91317.6283656904","88831.576609184","86960.3167434205","91058.6690664392","96981.5907871132","99576.6168703857","104995.397893447","99096.705445174","93017.0906486344","83336.8197392763","83670.9093739164","87709.0444061316","87339.6876580759","85514.802433677","85248.1547335913","71720.3084512543","67702.1473929958","68043.2312156859","75071.180051653","76884.9468983345","65352.8344182277","67401.1212929253","73777.7443945251","76110.3848420758","77958.8954093036",
"Argentina","ARG","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7158.30849157078","7960.97844018808","8667.85280386599","9472.445099428","10103.0297415979","9890.92470924836","10495.8392452531","11403.4807926041","11835.6769869109","11463.8533083263","11499.9828002518","11117.754923787","9953.46492880857","10933.3925491594","12117.6797423098","13464.8128470561","14843.5778659642","16455.1129801674","17276.7570886806","16182.0753477677","17847.6110373178","19104.9909405228","19430.4178068112","19928.989490167","19487.4181748868","19899.1499275245","20105.761359796","23385.0740904917","24410.3919063335","23516.8261980886","22393.3479575353","26300.274261175","29597.6938429263","30082.3045247325","30175.5359656699",
"Armenia","ARM","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2760.24950024614","2476.60309205127","1491.61267174295","1440.39367766113","1591.47883514103","1766.91014761234","1921.54998904796","2039.78832278035","2239.42758318044","2376.51916946578","2530.74394657194","2844.36266367009","3282.11706337369","3836.22556768673","4377.22759682551","5172.2189210295","6072.75924479855","7136.75405519953","7827.31666746494","6811.69247959581","7095.21267979009","7624.26772626905","8942.63537897164","9454.87852836557","9736.2349746279","9756.84084836026","10570.2720413936","12066.0043093819","12877.4937543553","14975.7539538157","14706.3173043422","15921.705281964","19161.3700514189","21534.0305361169","22823.1795255692",
"American Samoa","ASM","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12996.0453528789","13658.4986142765","13908.4512651294","14719.5095217977","15736.1681149521","15062.3522451447","16016.9331941163","16836.0619448521","17496.1487515533","18088.3822356782","19318.8965779721","18568.679914651","18812.7827770729","20127.345572169","21628.6836541675","23484.8001051691","26949.4085821346","29850.5675734636","29978.2095861092","26156.9151715965","24071.0297956482","23804.0790107696","23011.7386611366","21760.5232864254","21671.4737856616","20985.4388292177","21320.4375067809","21422.0021576627","24524.2137953887","26550.589844733","22370.0918693813","25745.4958067746","29933.8893698902","31601.7527146877","33602.3539957929",
"Australia","AUS","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17381.2252724823","17835.8304564765","18253.9697600814","19216.3066487676","20170.7847643535","21038.6667853022","22132.1929034356","23124.9639117233","24378.2453109245","25485.39144594","26541.6653208437","27645.8140289701","29032.4909555888","30121.8184177337","31763.7960926854","33036.5834770249","34846.7156302418","36653.8417179443","37532.9990434133","40312.3951186945","39372.8511038542","42022.7392158859","42863.3483169945","45930.8505081503","46903.770304139","46263.731388772","47260.1529933747","48371.1409956585","50183.6898127634","52673.0638176231","53984.1246979075","58182.3369477501","65871.7715157769","70513.4748706981","71193.2158509788",
"Austria","AUT","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19382.9664747914","20522.1855149093","21194.7573972524","21632.3186748084","22538.0742657382","23588.4562990757","24417.66429689","25294.723885165","26529.1815683188","27500.084954534","29214.7386484813","29556.403560049","30952.1708232398","31962.9255331065","33523.0204968283","34776.6699535218","37396.0350960866","39193.8173640977","41046.7900352112","40665.5046605019","41740.1149241758","44171.5618687028","46156.4832073037","47519.8522796571","48355.4977624407","49562.5939257986","52397.8635176674","53869.8321183556","56636.4953030542","60354.9279422121","58523.0337816246","62968.9422311892","70734.9425647902","70478.7873635411","71617.9017496321",
"Azerbaijan","AZE","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5342.57082118899","5412.09760741002","4220.14637720917","3272.23795360409","2647.7653869537","2356.89780387298","2406.77231863848","2565.40828437876","2826.70693721337","3051.94233665211","3439.14443222004","3834.89815686956","4230.40590255405","4718.4211499969","5247.53835061462","6854.93619475823","9398.01323940435","11973.9596381455","13216.8434837487","14245.5035454881","14930.4100337944","14804.5744507911","15994.1466501837","17267.5118919537","17563.6122454385","15075.272634791","14535.8020210633","14315.929643106","15282.9995232298","16675.3179361558","15163.5703327282","20111.3756952109","22552.0886659805","23651.5994551766","25088.9501767555",
